city,population,region,about,image
Casablanca,"3,359,818",Casablanca-Settat,"Casablanca  is the largest city in Morocco and the country's economic and business centre. Located on the Atlantic coast of the Chaouia plain in the central-western part of Morocco, the city has a population of about 3.71 million in the urban area, and over 4.27 million in Greater Casablanca, making it the most populous city in the Maghreb region, and the eighth-largest in the Arab world.",https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Hassan_II_mosque2.jpg/129px-Hassan_II_mosque2.jpg
Fez,"1,112,072",Fès-Meknès,"Fez or Fes is a city in northern inland Morocco and the capital of the Fès-Meknès administrative region. It is the second largest city in Morocco, with a population of 1.11 million, according to the 2014 census. Located to the northwest of the Atlas Mountains, it is surrounded by hills and the old city is centered around the Fez River (Oued Fes) flowing from west to east. Fez has been called the 'Mecca of the West' and the 'Athens of Africa'. It is also considered the spiritual and cultural capital of Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/University_karaouiyine_of_fes.jpg/275px-University_karaouiyine_of_fes.jpg
Tangier,"947,952",Tanger-Tetouan-Al Hoceima,"Tangier  is a city in northwestern Morocco, on the coasts of the Mediterranean Sea and the Atlantic Ocean. The city is the capital of the Tanger-Tetouan-Al Hoceima region, as well as the Tangier-Assilah Prefecture of Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Tangier_-_44699733295.jpg/275px-Tangier_-_44699733295.jpg
Marrakesh,"928,850",Marrakesh-Safi,Marrakesh or Marrakech  is the fourth-largest city in Morocco. It is one of the four imperial cities of Morocco and is the capital of the Marrakesh–Safi region. The city lies west of the foothills of the Atlas Mountains.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pavillon_Menarag%C3%A4rten.jpg/260px-Pavillon_Menarag%C3%A4rten.jpg
Salé,"890,403",Rabat-Salé-Kénitra,"Salé  is a city in northwestern Morocco, on the right bank of the Bou Regreg river, opposite the national capital Rabat, for which it serves as a commuter town. Founded in about 1030 by the Banu Ifran, it later became a haven for pirates in the 17th century as an independent republic before being incorporated into Alaouite Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Monuments_de_Sal%C3%A9.png/275px-Monuments_de_Sal%C3%A9.png
Meknes,"632,079",Fès-Meknès,"Meknes  is one of the four Imperial cities of Morocco, located in northern central Morocco and the sixth largest city by population in the kingdom. Founded in the 11th century by the Almoravids as a military settlement, Meknes became the capital of Morocco during the reign of Sultan Ismail Ibn Sharif , son of the founder of the Alaouite dynasty. Sultan Ismail created a massive imperial palace complex and endowed the city with extensive fortifications and monumental gates.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Place_el-Hedim_%28cropped_for_panorama%29_DSCF5775.jpg/275px-Place_el-Hedim_%28cropped_for_panorama%29_DSCF5775.jpg
Rabat,"577,827",Rabat-Salé-Kénitra,"Rabat  is the capital city of Morocco and the country's seventh-largest city with an urban population of approximately 580,000  and a metropolitan population of over 1.2 million. It is also the capital city of the Rabat-Salé-Kénitra administrative region. Rabat is located on the Atlantic Ocean at the mouth of the river Bou Regreg, opposite Salé, the city's main commuter town.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Morocco_-_Rabat_%2831387775324%29.jpg/275px-Morocco_-_Rabat_%2831387775324%29.jpg
Oujda,"494,252",Oriental,"Oujda is a major Moroccan city in its northeast near the border with Algeria. Oujda is the capital city of the Oriental region of northeastern Morocco and has a population of about 558,000 people. It is located about 15 kilometres west of the Moroccan-Algerian border in the south of the Beni Znassen Mountains and about 55 km south of the Mediterranean Sea coast.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Oujdacol.jpg/250px-Oujdacol.jpg
Kenitra,"431,282",Rabat-Salé-Kénitra,"Kenitra  is a city in northwestern Morocco. It is a port on the Sebou River with a population of 431,282 as of 2014. It is one of the three main cities of the Rabat-Salé-Kénitra region and the capital of the similarly named Kénitra Province. During the Cold War, the US Naval Air Station Port Lyautey served as a stopping point in North Africa.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Kenitra_main_pic.jpg/275px-Kenitra_main_pic.jpg
Agadir,"421,844",Souss-Massa,"Agadir is a major city in Morocco, on the shore of the Atlantic Ocean near the foot of the Atlas Mountains, just north of the point where the Souss River flows into the ocean, and 509 kilometres south of Casablanca. Agadir is the capital of the Agadir Ida-U-Tanan Prefecture and of the Souss-Massa economic region",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Agadir-cityreflection.jpg/275px-Agadir-cityreflection.jpg
