city_id,name,image,type,description,location,rating,schedule,sponsored
1,Kasbah of the Udayas,https://lh3.ggpht.com/p/AF1QipPkE8mws2u2OaZqd_pUmHB_B--hblElPutT3YJB=s1536,Monument,"A historic kasbah in Rabat, known for its white-and-blue painted streets, Andalusian gardens, and views of the Bouregreg River.","34.03270827519364, -6.836019553967021","4.99",,0
1,Mausoleum of Mohammed V,https://lh3.ggpht.com/p/AF1QipPGk_hxzCauJjRB6oArTXDkq8iKUJ8IEcUWErDt=s1024,Monument,"A mausoleum in Rabat housing the tombs of King Mohammed V and his sons, known for its stunning architecture and historical significance.","34.023429811602156, -6.821408615344327","3.19",,0
1,Botanical Garden of Rabat,https://lh3.ggpht.com/p/AF1QipPkHyr9mV0eDsQ-Wi94Jz00mNPgfl3Br423fYeU=s1536,Monument,"A public garden in Rabat, offering a variety of plant species, peaceful pathways, and educational exhibits on local flora.","34.00870368411643, -6.84677500979692","4.05",,0
2,Sindibad Park,https://placehold.co/600x400.png,Monument,"A family-friendly amusement park offering various rides, attractions, and a zoo, providing entertainment and fun for visitors of all ages.","33°34'56.442'N, 7°41'39.890'W",3.57,,0
2,Hermitage Park,https://placehold.co/600x400.png,Monument,"A tranquil green space in the heart of Casablanca, known for its serene environment, walking paths, and a variety of plant species, ideal for leisurely strolls and relaxation.","33°33'51.394'N, 7°36'48.316'W",3.02,,0
2,Casablanca Cathedral,https://placehold.co/600x400.png,Monument,"Also known as the Sacré-Cœur Cathedral, this stunning example of neo-Gothic architecture was completed in 1930. Although it no longer serves as a place of worship, it hosts cultural events and exhibitions.","33°35'28'N, 7°37'28'W",3.98,,0
2,Isesco Park,https://placehold.co/600x400.png,Monument,"Named after the Islamic Educational, Scientific and Cultural Organization (ISESCO), this park provides recreational spaces, playgrounds, and gardens, promoting a peaceful environment for families and visitors.","33°34'45.988'N, 7°36'47.722'W",4.87,,0
2,Arab League Park of Casablanca,https://placehold.co/600x400.png,Monument,"A large urban park established in 1918, featuring lush greenery, walking paths, fountains, and playgrounds, making it a popular spot for both locals and tourists to relax.","33°35'15.846'N, 7°37'28.668'W",4.93,,0
2,El Hank Lighthouse,https://placehold.co/600x400.png,Monument,"Built in 1916, this lighthouse stands at 51 meters tall and provides a vital navigation aid along the Atlantic coast. It offers panoramic views of the ocean and the city.","33°36'35.71'N, 7°39'16.81'W",3.32,,0
2,Enclosure of Sour Jdid,https://placehold.co/600x400.png,Monument,"A historic area featuring remnants of old city walls, it offers a glimpse into Casablanca's past with its traditional architecture and historical significance.","33°36'16.319'N, 7°37'56.658'W",3.23,,0
