city,image,name,location,coordinates,identifier,type,description,rating,sponsored,history,schedule
Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Agadir_ruines_Kasbah_0001.JPG/200px-Agadir_ruines_Kasbah_0001.JPG,Kasbah of Agadir,Agadir,"30°25'45.8""N, 9°37'27.1""W",pc_architecture/sanae:190005,Monument,,,False,,
Agadir,,Aghzdisse lighthouse,Agadir,"30°25'47.384""N, 9°38'7.876""W",pc_architecture/sanae:350016,Monument,,,False,,
Agadir,,Al Amrou Madrasa,Agadir,"30°31'0.977""N, 9°35'14.060""W",pc_architecture/sanae:270029,Monument,,,False,,
Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Agadir_ruines_Kasbah_0001.JPG/200px-Agadir_ruines_Kasbah_0001.JPG,Kasbah of Agadir,Agadir,"30°25'45.8""N, 9°37'27.1""W",pc_architecture/sanae:190005,Monument,,,False,,
Agadir,,Ibn Zidoun Garden,Agadir,"30°25'7.057""N, 9°35'37.320""W",pc_architecture/sanae:180117,Monument,,,False,,
Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Agadir_28.01.2011_15-29-21.JPG/200px-Agadir_28.01.2011_15-29-21.JPG,Olhão Garden,Agadir,"30°25'27.268""N, 9°35'49.304""W",pc_architecture/sanae:180116,Monument,,,False,,
Asilah,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Muralha_de_Arzila_2.jpg/200px-Muralha_de_Arzila_2.jpg,Ribat Arzila,Asilah,"35°27'57.917""N, 6°2'15.936""W",pc_architecture/sanae:420003,Monument,,,False,,
Asilah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Asilah_Old_Tower.jpg/200px-Asilah_Old_Tower.jpg,Medina of Asilah,Asilah,"35°27'54.918""N, 6°2'23.842""W",pc_architecture/sanae:410030,Monument,,,False,,
Asilah,,Bab Homar,Asilah,"35°27'54.014""N, 6°2'16.436""W",pc_architecture/sanae:390077,Monument,,,False,,
Azilal,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Cascades_d%27ouzoud_maroc_01.jpg/200px-Cascades_d%27ouzoud_maroc_01.jpg,Ouzoud Falls,Ouzoud,"32°0'55""N, 6°43'8""W",pc_architecture/sanae:060003,Monument,,,False,,
Azilal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Site_d%27iminifri_Demnate.jpg/200px-Site_d%27iminifri_Demnate.jpg,Iminifri Cave,Azilal Province,"31°43'27.509""N, 6°58'18.296""W",pc_architecture/sanae:160003,Monument,,,False,,
