city,url
Agadir,https://en.wikipedia.org/wiki/List_of_monuments_in_Agadir
Asilah,https://en.wikipedia.org/wiki/List_of_monuments_in_Asilah
Azilal,https://en.wikipedia.org/wiki/List_of_monuments_in_Azilal
Casablanca,https://en.wikipedia.org/wiki/List_of_monuments_in_Casablanca
Chefchaouen,https://en.wikipedia.org/wiki/List_of_monuments_in_Chefchaouen
El Hajeb,https://en.wikipedia.org/wiki/List_of_monuments_in_El_Hajeb
El Jadida,https://en.wikipedia.org/wiki/Monuments_in_El_Jadida
Errachidia,https://en.wikipedia.org/wiki/List_of_monuments_and_sites_in_Errachidia
Essaouira,https://en.wikipedia.org/wiki/List_of_monuments_in_Essaouira
Fez,https://en.wikipedia.org/wiki/List_of_monuments_in_Fez
Figuig,"https://en.wikipedia.org/wiki/List_of_monuments_and_sites_in_Figuig,_Morocco"
Guelmim,https://en.wikipedia.org/wiki/List_of_monuments_in_Guelmim
Marrakesh,https://en.wikipedia.org/wiki/List_of_monuments_in_Marrakesh
Meknes,https://en.wikipedia.org/wiki/List_of_monuments_in_Meknes
Mehdya,https://en.wikipedia.org/wiki/List_of_monuments_in_Mehdya
Nador,"https://en.wikipedia.org/wiki/List_of_monuments_in_Nador,_Morocco"
Ouarzazate,https://en.wikipedia.org/wiki/List_of_monuments_in_Ouarzazate
Oujda,https://en.wikipedia.org/wiki/List_of_monuments_in_Oujda
Rabat,"https://en.wikipedia.org/wiki/List_of_monuments_in_Rabat,_Morocco"
Safi,"https://en.wikipedia.org/wiki/List_of_monuments_in_Safi,_Morocco"
Salé,"https://en.wikipedia.org/wiki/List_of_monuments_in_Sal%C3%A9,_Morocco"
Sidi Kacem,https://en.wikipedia.org/wiki/List_of_monuments_in_Sidi_Kacem
Sidi Ifni,https://en.wikipedia.org/wiki/List_of_monuments_in_Sidi_Ifni
Tangier,https://en.wikipedia.org/wiki/List_of_monuments_in_Tangier
Taroudant,https://en.wikipedia.org/wiki/List_of_monuments_in_Taroudant
Tata,"https://en.wikipedia.org/wiki/List_of_monuments_and_sites_in_Tata,_Morocco"
Taza,https://en.wikipedia.org/wiki/List_of_monuments_in_Taza
Tetouan,https://en.wikipedia.org/wiki/List_of_monuments_in_Tetouan
Tiznit,https://en.wikipedia.org/wiki/List_of_monuments_in_Tiznit
Zagora,https://en.wikipedia.org/wiki/List_of_monuments_in_Zagora
