city,about,image,rating
Rabat,"Rabat is a cultural city deep-rooted in history. Many masterpieces decorate its streets and squares. Visit the Kasbah des Oudayas which is a majestic and splendid architecture embellished by the surrounding gardens. Not far from the walls, stand the imposing walls of the Chellah; a necropolis from the time of the Merinids. Crossing the walls is like entering another world; walk among ancient vestiges, gardens and storks. 
Rabat is also a modern eco-responsible capital with its green spaces. Beautiful parks await you, such as the botanical test garden or the Exotic Gardens of Bouknadel which is a few kilometres from the city. Rabat boasts an outstanding coastline; on the Atlantic Ocean shores, it has kilometres of well equipped beaches that lead to the neighbouring city of Casablanca.
With its modern infrastructures and various festivals, Rabat is a living city. Airport, tram, shopping centres, cafés and restaurants, all the amenities are within your reach. Revel in bustling vibes of music that Rabat celebrates like no other city; from Mawazine, to Jazz au Chellah and many others that fill the atmosphere with sounds and rhythms from all over the world !
Rabat is a city where the treasures of the past blend with the most modern and environmentally friendly achievements.",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/tour-hassan-rabat-morocco-by-migel.jpg?itok=YP8GLwSi,4.69
Casablanca,"Beautiful palm trees lining its paths, with the Atlantic ocean over the horizon, and large business buildings in every corner : Casablanca is the economic lung of Morocco; a bustling metropolis.
Modern infrastructures are in the middle of charming districts, between Arab-Muslim heritage and legacies of the colonial period. Discover all the possibilities : take a stroll in the medina, which is one of latest medinas built in Morocco, roam through the centre and its art-deco buildings, and join the Hassan II mosque; the splendid of architecture built on the water.
Let yourself be tempted by the festive side of the city. Take advantage of the cornice, its clubs and festivals too, such as the Casablanca Festival, Jazzablanca or Tremplin L'Boulevard.
The coastline, bordered by beaches equipped to suit all your comfort, invites you to experience the most fun activities that will make your stay more enjoyable, from diving, to jet-skiing to boating.
The White city, Casablanca, is where culture and serenity activities blend seamlessly.",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/la-mosquee-hassan-ii-au-coucher-du-soleil-a-casablanca-maroc.jpg?itok=-kg3FRws,4.97
Tangier,"In the north of Morocco, on the coasts of Tangier where the Mediterranean and Atlantic waters converge, you'll discover a unique city bearing a multicultural heritage.
Stroll the streets of «the White» Tangier, they are lined with lime-coated houses. Just like Delacroix or Matisse did their upon arrival, let yourself be carried away by the dreamy atmosphere that covers the city. At the foot of the high walls of the ""Kasbah"", roam through the alleys of the great ""Socco"", and admire the fortress that dominates the medina. A little far away, explore the ""Sultan's Palace"" which is nowaydays dedicated to the arts of Morocco. Tangier is alsos renowned for the Spanish influence on its culture, starting with the arena that stands on the ""Plaza de Torros"", not to mention the ""Cervantes"" theatre built in 1913.",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/the-caves-of-hercules-is-one-of-the-most-popular-tourist-attractions-near-tangier-north-of-morocco-praphab-louilarpprasert.jpg?itok=AYgoSb6n,3.06
Ifrane,"With its clean air, scrubbed streets, red-roofed houses, white winters, and being set high up in Atlas mountains, Ifrane is a go-to destination!
Set at an altitude of 1,650 metres, Ifrane charms never ceases to amaze its visitors with its calm waves of its lakes, and the waterfalls pouring cold waters into the valleys. It is beautifully surrounded by the largest cedar forest in the world, with its picturesque green trees on the Middle Atlas Mountains slopes.
Its picturesque lake studded-parks gives its visitors a taste of an unexpected atmosphere, where its enjoyable to stroll.
A rich and varied fauna decorate the most beautiful hiking trails. Diverse bird and monkey species inhabit its park: A Barbary macaque will amuse you, while you'll get to see also the Barbary deer watching you a few meters away.
Ifrane is also a heritage. You'll come to the cleanest streets in the world, and discover a typical regional craft. You'll come across upholsterers working on their carpets, and mat makers weaving rush stems, and a pottery or Thuya wood shop where you'll find charming knick-knacks.
From a luxury hotel to a charming red-roofed house, this year-round destination promises you the sun and the moon!",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/lake-dayet-aoua-around-ifrane-middle-atlas-morocco-north-africa-mallouk_0.jpg?itok=44DhMd54,4.45
Fez,"Fez has a special atmosphere. This 13th-century city is an imperial city of long-lasting multicultural history, that reserves unexpected surprises for its visitors.
Cross the walls of the famous medina of Fez, recognized by UNESCO as an outstanding universal value. Stroll through the streets of the Fez-El-Bali district. The Bab Boujloud is the easiest way to enter the medina.
In early May, the squares and alleys resound with world music, where the Festival of World Sacred Music is held in the former imperial capital, which occurs along with Jazz in Riads, one of the main events in the city's cultural calendar. Don't leave without having tasted the city's gastronomy, reputed to be one of the best in the world.",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/tanneries-medina-of-fez-morocco-wizard8492.jpg?itok=VYYh3Kpd,3.18
Dakhla,"Located in the south of Morocco, Dakhla is a small part of paradise, lost between the waters of the Atlantic and the sands of the Sahara. It gives you a complete change of scenery. Kilometres of beaches expand from one side of the town to the other: an opportunity to relax, and indulge in all kinds of water activities.
These shores are one of the most beautiful ones in Morocco. These pearls are an absolute haven of peace; an ideal place to bask in the 25-degree sun all year round.
In the surroundings, the PK25 and Foum El Bouir beaches are particularly famous. While PK25 is a perfect place for relaxation, where to swim quietly in the calm and crystalline waters of the lagoon, the atmosphere of Foum El Bouir is more lively.
Being the perfect places for sliding sports: Surfers, kitesurfers and windsurfers, whether amateurs or professionals, meet here to experience thrilling challenges with waves and winds. «Pointe de Dragon» is another internationally renowned spot : waves are impressive and the most famous surfers have come in droves to these spectacular tubes that run for hundreds of metres.
Leading to sub-Saharan Africa, Dakhla is a gateway to a never-ending array of thrilling and exciting activities!",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/lile-du-dragon.jpg?itok=1G-G0jHr,4.54
Marrakech,"Between tradition and modernity, Marrakech is the promise of unequalled sensations. Strolling the Jemaa El-Fna square and the souks with their shimmering colours and oriental smells, the red city offers you a complete change of scenery. Horse-drawn carriage rides, sunny terraces, travelling artists and other day and night activities will give a tates of wishful comeback.
You will be able to admire all the architectural richness of the Medina, upon visiting one of its many riads, small oriental palaces overlooking a beautiful patio. You can also relax and recharge at the Menara, a vast garden with an emblematic basin. Marrakech shower its visitors by its splendour and its diversity, you just have to leave the ramparts to be immersed in modern Morocco. The districts of Gueliz and Hivernage offer the most modern infrastructures, luxury boutiques and international ready-to-wear stores, airy avenues; which all contribute to Marrakech's unique offering.
Being a growing economic bustling city, Marrakech has special festive and cultural places, such as the «Palais des Congres» and the splendid Royal Theater. Enjoy Marrakech at night by discovering the many themed venues, trendy clubs and traditional evenings that reflect the lively part of the city.
In 2016, Marrakech will host the Cop22 to help adress climate change issues, as a recognition of its new international stature and its considerable reception capacity.",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/koutoubia-mosque-minaret-located-at-medina-quarter-of-marrakesh-morocco-balate-dorin.jpg?itok=08hAHERp,3.24
Meknes,"The Medina of Meknes and the remains of the royal palace have earned it an undisputable place on the UNESCO World Heritage List.
On El Hedime square, Bab Mansour, one of the masterpieces of Hispano-Moorish art, is the gateway to the medina. Don't miss visiting the royal stables and granaries of Sultan Moulay Ismail.
In the North of Meknes, stands the largest Roman archaeological site in Morocco, which is Volubilis. Triumphal arch, capitol, house of Bacchus, everything bears witness to the splendour of the city and to its economic and political weight.
Being an imperial and eternal citiy, Meknes offers you the experience of a timeless stay full of heritage discovery.",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/volubilis-near-meknes-in-morocco-andreas-zeitler.jpg?itok=TErQePPD,3.06
Safi,"The splendid architecture of Kechla and the waters of the Atlantic crashing against its walls: this is one of the many outstanding popular paintings in Safi.
For five centuries now, the fortress has stood as a sentinel on the shores of the ocean. Its high crenellated towers offer admirable views of the surrounding area. It is an opportunity to admire the seafront, the bustling and animated life of this provincial capital.
The pottery district is particularly attractive. Craftsmen make marvels of terracotta and clay that is put on display in the windows and stalls of their shops. Safi is one of the Moroccan capitals of ceramics and in its streets, beautiful trinkets are designed to make charming souvenirs.
Atop the Kechla, admire the old Medina. The labyrinth of its alleys and their narrowness have something mysterious about them that invites you to take a stroll.
A little far away, you'll get to the Rue du Souk : you can hear echoes and smell the aromas. Behind you, you can hear the impressive rolling waves. All of Safi assets won it an internationally position as a renowned surfing spot.
When you think that you've seen it all, Safi surprises you with its hidden treasures!",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/dar-el-bahar-fortress-at-safi-on-the-atlantic-coast-morocco-anibal-trejo_0.jpg?itok=P1b3ydVO,4.86
Chefchaouen,"Built on a mountainside, Chefchaouen is a city with a special vibes. It unique charm gives an impression of unreality. With its blue-rinsed houses, the whole city seems to be bathed in azure. You walk around as if you were in a dream.
More than just an ornament, the beautiful Chefchaouen brims with attractions. Its heritage is rich. The inescapable Medina with its famous narrow winding alleys, is an opportunity to mingle with the local population, and to smell and taste delights: from freshly baked bread, to skillfully prepared tagines. There is also the Kasbah which stands in the middle of the old quarter: its lush gardens, located in the center of the city, are a haven of freshness. Its museum which is home to a collection of old weapons, some photos of the city, and textiles, is a must-see.
Boasting its unique geographical position, Chefchaouen is a paradise for walkers. The paths of the surrounding mountains offer pleasant hiking activities. You'll explore a new side of Morocco, that of the Rif mountain range, as you stroll them.
Make the most of your stay in the picture perfect Blue city!",https://www.visitmorocco.com/sites/default/files/styles/thumbnail_destination_background_top5/public/thumbnails/image/cascades-d-akchour-rif-mountains-morocco-julian-schaldach_0.jpg?itok=7Cpx2VUG,3.48
